StationNumber;ForkLengthinmillimeters;Location
15;81;other_site_by_the_river
15;82;other_site_by_the_river
15;82;other_site_by_the_river
15;84;other_site_by_the_river
15;85;other_site_by_the_river
15;86;other_site_by_the_river
15;86;other_site_by_the_river
15;87;other_site_by_the_river
15;88;other_site_by_the_river
15;88;other_site_by_the_river
15;88;other_site_by_the_river
15;90;other_site_by_the_river
15;91;other_site_by_the_river
15;92;other_site_by_the_river
15;94;other_site_by_the_river
15;95;other_site_by_the_river
15;96;other_site_by_the_river
15;96;other_site_by_the_river
15;97;other_site_by_the_river
15;98;other_site_by_the_river
15;99;other_site_by_the_river
15;99;other_site_by_the_river
15;101;other_site_by_the_river
15;101;other_site_by_the_river
16;73;other_site_by_the_river
16;87;other_site_by_the_river
16;88;other_site_by_the_river
16;90;other_site_by_the_river
16;92;other_site_by_the_river
16;95;other_site_by_the_river
16;96;other_site_by_the_river
16;97;other_site_by_the_river
16;98;other_site_by_the_river
16;98;other_site_by_the_river
16;100;other_site_by_the_river
16;100;other_site_by_the_river
16;101;other_site_by_the_river
16;102;other_site_by_the_river
16;102;other_site_by_the_river
16;103;other_site_by_the_river
16;105;other_site_by_the_river
16;105;other_site_by_the_river
16;106;other_site_by_the_river
16;107;other_site_by_the_river
16;108;other_site_by_the_river
16;110;other_site_by_the_river
16;110;other_site_by_the_river
16;111;other_site_by_the_river
16;112;other_site_by_the_river
16;114;other_site_by_the_river
16;115;other_site_by_the_river
17;78;other_site_by_the_river
17;87;other_site_by_the_river
17;90;other_site_by_the_river
17;91;other_site_by_the_river
17;98;other_site_by_the_river
17;99;other_site_by_the_river
17;99;other_site_by_the_river
17;101;other_site_by_the_river
17;102;other_site_by_the_river
17;104;other_site_by_the_river
17;104;other_site_by_the_river
17;104;other_site_by_the_river
17;105;other_site_by_the_river
17;106;other_site_by_the_river
17;106;other_site_by_the_river
17;106;other_site_by_the_river
17;106;other_site_by_the_river
17;107;other_site_by_the_river
17;107;other_site_by_the_river
17;108;other_site_by_the_river
17;109;other_site_by_the_river
17;110;other_site_by_the_river
17;111;other_site_by_the_river
17;112;other_site_by_the_river
17;113;other_site_by_the_river
17;115;other_site_by_the_river
17;116;other_site_by_the_river
17;121;other_site_by_the_river
17;125;other_site_by_the_river
17;125;other_site_by_the_river
18;75;other_site_by_the_river
18;75;other_site_by_the_river
18;77;other_site_by_the_river
18;77;other_site_by_the_river
18;79;other_site_by_the_river
18;82;other_site_by_the_river
18;82;other_site_by_the_river
18;83;other_site_by_the_river
18;83;other_site_by_the_river
18;84;other_site_by_the_river
18;86;other_site_by_the_river
18;87;other_site_by_the_river
18;88;other_site_by_the_river
18;88;other_site_by_the_river
18;89;other_site_by_the_river
18;90;other_site_by_the_river
18;91;other_site_by_the_river
18;91;other_site_by_the_river
18;92;other_site_by_the_river
18;93;other_site_by_the_river
18;93;other_site_by_the_river
18;94;other_site_by_the_river
18;94;other_site_by_the_river
18;95;other_site_by_the_river
18;95;other_site_by_the_river
18;95;other_site_by_the_river
18;95;other_site_by_the_river
18;95;other_site_by_the_river
18;96;other_site_by_the_river
18;96;other_site_by_the_river
18;96;other_site_by_the_river
18;96;other_site_by_the_river
18;97;other_site_by_the_river
18;97;other_site_by_the_river
18;97;other_site_by_the_river
18;98;other_site_by_the_river
18;98;other_site_by_the_river
